clip_id	track_number	title	artist	album	url	segmentStart	segmentEnd	original_url	mp3_path
8543	02	Ni	Tilopa	Pictures of Silence	http://www.magnatune.com/artists/albums/tilopa-pictures/	291	320	http://he3.magnatune.com/all/02-Ni-Tilopa.mp3	a/tilopa-pictures_of_silence-02-ni-291-320.mp3
29687	06	Three Airs from The Dancing Master (Playford)	Da Camera	A Celtic Celebration	http://www.magnatune.com/artists/albums/dacamera-celtic/	233	262	http://he3.magnatune.com/all/06-Three%20Airs%20from%20The%20Dancing%20Master%20(Playford)-Da%20Camera.mp3	a/da_camera-a_celtic_celebration-06-three_airs_from_the_dancing_master_playford-233-262.mp3
40572	09	Quiero Bailar Contigo	The Headroom Project	Ciri a Doro	http://www.magnatune.com/artists/albums/headroom-ciri/	117	146	http://he3.magnatune.com/all/09-Quiero%20Bailar%20Contigo-The%20Headroom%20Project.mp3	a/the_headroom_project-ciri_a_doro-09-quiero_bailar_contigo-117-146.mp3
48826	12	searching for M	Bjorn Fogelberg	Karooshi Porn	http://www.magnatune.com/artists/albums/fogelberg-karooshi/	59	88	http://he3.magnatune.com/all/12-searching%20for%20M-Bjorn%20Fogelberg.mp3	a/bjorn_fogelberg-karooshi_porn-12-searching_for_m-59-88.mp3
50940	13	Tikho Nad Richkoyu	Kitka	Nectar	http://www.magnatune.com/artists/albums/kitka-nectar/	30	59	http://he3.magnatune.com/all/13-Tikho%20Nad%20Richkoyu-Kitka.mp3	a/kitka-nectar-13-tikho_nad_richkoyu-30-59.mp3
40035	09	Meaner than Winter	Jade Leary	The Lost Art of Human Kindness	http://www.magnatune.com/artists/albums/jade-art/	146	175	http://he3.magnatune.com/all/09-Meaner%20than%20Winter-Jade%20Leary.mp3	a/jade_leary-the_lost_art_of_human_kindness-09-meaner_than_winter-146-175.mp3
55956	19	Scotch Tune by Mr. Solomon Eckles (Eccles)	Da Camera	A Celtic Celebration	http://www.magnatune.com/artists/albums/dacamera-celtic/	0	29	http://he3.magnatune.com/all/19-Scotch%20Tune%20by%20Mr.%20Solomon%20Eckles%20(Eccles)-Da%20Camera.mp3	a/da_camera-a_celtic_celebration-19-scotch_tune_by_mr__solomon_eckles_eccles-0-29.mp3
1903	01	Helio's Course	DAC Crowell	The Mechanism of Starlight	http://www.magnatune.com/artists/albums/dac-mech/	842	871	http://he3.magnatune.com/all/01-Helio's%20Course-DAC%20Crowell.mp3	a/dac_crowell-the_mechanism_of_starlight-01-helios_course-842-871.mp3
33448	07	Starshine	Falling You	Human	http://www.magnatune.com/artists/albums/fallingyou-human/	204	233	http://he3.magnatune.com/all/07-Starshine-Falling%20You.mp3	a/falling_you-human-07-starshine-204-233.mp3
46351	11	Orange Silhouette	Liquid Zen	Magic Midsummer	http://www.magnatune.com/artists/albums/liquid-magic/	59	88	http://he3.magnatune.com/all/11-Orange%20Silhouette%20-%20Liquid%20Zen.mp3	a/liquid_zen-magic_midsummer-11-orange_silhouette-59-88.mp3
15860	03	Tsintsharo (Georgia)	Kitka	Nectar	http://www.magnatune.com/artists/albums/kitka-nectar/	0	29	http://he3.magnatune.com/all/03-Tsintsharo%20(Georgia)-Kitka.mp3	a/kitka-nectar-03-tsintsharo_georgia-0-29.mp3
56946	22	Cock Up Your Beaver (Carolan)	Da Camera	A Celtic Celebration	http://www.magnatune.com/artists/albums/dacamera-celtic/	0	29	http://he3.magnatune.com/all/22-Cock%20Up%20Your%20Beaver%20(Carolan)-Da%20Camera.mp3	a/da_camera-a_celtic_celebration-22-cock_up_your_beaver_carolan-0-29.mp3
36468	08	N'aurai-je jamais Mieux (Robert Morton)	Asteria	Soyes Loyal	http://www.magnatune.com/artists/albums/asteria-soyes/	117	146	http://he3.magnatune.com/all/08-N'aurai-je%20jamais%20Mieux%20(Robert%20Morton)-Asteria.mp3	a/asteria-soyes_loyal-08-nauraije_jamais_mieux_robert_morton-117-146.mp3
54987	17	Yofcharche Mlado	Kitka	Nectar	http://www.magnatune.com/artists/albums/kitka-nectar/	59	88	http://he3.magnatune.com/all/17-Yofcharche%20Mlado-Kitka.mp3	a/kitka-nectar-17-yofcharche_mlado-59-88.mp3
56989	22	Enfin la beaute que j'adore (E. Moulinie)	Edward Martin and William Bastian	Virtues and Vices	http://www.magnatune.com/artists/albums/martin-virtues/	146	175	http://he3.magnatune.com/all/22-Enfin%20la%20beaute%20que%20j'adore%20(E.%20Moulinie)-Edward%20Martin%20and%20William%20Bastian.mp3	a/edward_martin_and_william_bastian-virtues_and_vices-22-enfin_la_beaute_que_jadore_e__moulinie-146-175.mp3
27169	06	Forgotten	Jade Leary	And Come the Sirens	http://www.magnatune.com/artists/albums/jade-sirens/	175	204	http://he3.magnatune.com/all/06-Forgotten-Jade%20Leary.mp3	a/jade_leary-and_come_the_sirens-06-forgotten-175-204.mp3
25075	05	Tant Est Mignonne Ma Pensee (Guillaume Dufay)	Asteria	Soyes Loyal	http://www.magnatune.com/artists/albums/asteria-soyes/	30	59	http://he3.magnatune.com/all/05-Tant%20Est%20Mignonne%20Ma%20Pensee%20(Guillaume%20Dufay)-Asteria.mp3	a/asteria-soyes_loyal-05-tant_est_mignonne_ma_pensee_guillaume_dufay-30-59.mp3
22831	05	I Want More	Electric Frankenstein	The Time Is Now	http://www.magnatune.com/artists/albums/elecfrank-timenow/	59	88	http://he3.magnatune.com/all/05-I%20Want%20More-Electric%20Frankenstein.mp3	a/electric_frankenstein-the_time_is_now-05-i_want_more-59-88.mp3
1230	01	Destiny Trip	Falling You	Human	http://www.magnatune.com/artists/albums/fallingyou-human/	146	175	http://he3.magnatune.com/all/01-Destiny%20Trip-Falling%20You.mp3	a/falling_you-human-01-destiny_trip-146-175.mp3
